firstName,lastName,regionFN,languageFN,languageLN,nationality,genderFN,genderF,genderM,averageHeightForCountryMetricCM,STDHeightForCountryMetricCM,sexual_orientation,age,visual_impairment,handedness,heightCM
Lorenzo,Maria,Europe,Italian/ Spanish/ Portuguese/ Romanian/ French/ Slovak/ Polish/ Finnish/ Swedish/ Norwegian/ Danish/ German/ Dutch/ Greek/ Georgian/ English/ Russian/ Bulgarian/ Ancient Roman,"Italian, Portuguese",Portugal,m,0,1,174.4,7.42,idk,58,,,180
Andréia,Messana,Europe,Portuguese,"Italian, Portuguese",Portugal,w,1,0,161.2,7.11,,38,,,173
Anton,Lagunov,Europe,Russian,m ,Russia,m,0,1,176.6,7.42,,14,,Left handed,177
Toma,Valentinova,Europe,Russian,w,Russia,w,1,0,164.5,7.11,,25,,,167
Veronika,Orlova,Europe,Russian,w,Russia,w,1,0,164.5,7.11,,25,,,173
Jahid,Najjar,Central Asia,Arabic/Bengali,Arabic,Saudi Arabia,m,0,1,170.7,7.42,Bisexual,8,,,166
Zubaida,Khalil,Central Asia,Arabic/Urdu,,Saudi Arabia,w,1,0,158.8,7.11,idk,3,,,155
Isaiah,Norris,Europe,English,English/Scottish,Scottland,m,0,1,178.2,7.42,,63,,Left handed,166
Katlego,Tshireletso,Africa,Tswana,,South Africa,m,0,1,169.6,7.42,,43,Other visual impairment,Left handed,173
Eun-sook,Yun,East Asia,Korean,,South Korea,w,1,0,163.2,7.11,,21,,,176
Duilio,Ventura,Europe,Italian/Spanish,"Italian, Spanish, Portuguese, Catalan",Spain,m,0,1,176.1,7.42,idk,45,,,173
Bala,Bredin,Central Asia,Tamil/Telugu/Hindi,,Sri Lanka,w,1,0,155.9,7.11,Bisexual,0,,,159
Danne,Ljungborg,Europe,Swedish,,Sweden,m,0,1,180.5,7.42,Bisexual,62,,,187
Agneta,Blomqvist,Europe,Swedish,,Sweden,w,1,0,166.7,7.11,,91,,,175
Musa,Saad,Central Asia,Arabic/Turkish/Hausa/Urdu/Bengali/Indonesian/Malay,Arabic/Malay,Syria,m,0,1,165.5,7.42,idk,75,,,169
Zuberi,Hinga,Africa,Swahili,,Tanzania,m,0,1,167,7.42,idk,24,,,161
Eshe,Bahati,Africa,Swahili,,Tanzania,w,1,0,156.6,7.11,,33,,,160
Suriya,Bunnag,South East Asia,Thai/Tamil,Thai,Thai,m,0,1,171.6,7.42,,52,,,167
Feyza,Değirmenci,Central Asia,Turkish,,Turkey,w,1,0,161.8,7.11,,28,,,166
Nejla,Kaya,Central Asia,Turkish,,Turkey,w,1,0,161.8,7.11,,25,,Left handed,160
Mykola,Kravets,Europe,Ukrainian,,Ukraine,m,0,1,181,7.42,,22,,,182
Liliana,Arroyo,South America,Italian/ Spanish/ Portuguese/ Romanian/ Polish/ Czech/ English,Spanish,Uruguay,w,1,0,161.6,7.11,Pansexual,13,,,161
Lindsay,Christinsen,Europe,English,,USA,m,0,1,176.9,7.42,,34,,,181
Arron,Wade,Europe,English,,USA,m,0,1,176.9,7.42,,38,,,173
Dylan,Keller,Europe,"English, Hebrew, French, German, Swedish, Norwegian, Danish, Polish, Czech, Slovak, Spanish, Portuguese, Catalan, Romanian, Slovene, Bulgarian, Macedonian, Croatian, Finnish, Estonian, Armenian, Georgian, Biblical, Biblical Greek [1]",,USA,m,0,1,176.9,7.42,,27,,,173
Keshawn,Lowell,North America,USA,English,USA,m,0,1,176.9,7.42,,48,,,185
Javon,Sandford,North America,USA,English,USA,m,0,1,176.9,7.42,,71,,,183
Esther,Savatier,Europe,"English, French, Spanish, Dutch, German, Danish, Norwegian, Swedish, Jewish, Biblical, Biblical Latin, Biblical Greek",,USA,w,1,0,163.3,7.11,,10,,,166
Rachel,Janssen,Europe,"English, Hebrew, French, Dutch, German, Biblical, Biblical Latin, Biblical Hebrew [1]",,USA,w,1,0,163.3,7.11,,68,Glasses/Contacts,Left handed,166
Mònica,Zini,Europe,English/ Italian/ Romanian/ Swedish/ Norwegian/ Danish/ Dutch/ Finnish/ Late Roman,,USA,w,1,0,163.3,7.11,,60,,Left handed,162
Chanté,Harrell,North America,USA,English,USA,w,1,0,163.3,7.11,,51,,,164
Tanika ,Adams,North America,USA,English,USA,w,1,0,163.3,7.11,,52,,Left handed,161
Jairo,Calvo,South America,Spanish/Portuguese,Spanish/Italian/Portuguese,Venezuela,m,0,1,173.5,7.42,,46,,,168
Nia,Morgan,Europe,English/Welsh,,Wales,w,1,0,163.9,7.11,Bisexual,30,,,160
Dina,Vik,Europe/ Central Asia,"Norwegian, Danish, Swedish, Latvian, Russian, Ukrainian, Dutch, Italian, Spanish, Hebrew, Biblical Hebrew [1], Biblical Greek, Biblical Latin, Italian, Portuguese, Spanish, Dutch, English, Arabic",,Norway,w,1,0,166.4,7.11,,57,,,160
